condition,t,rt_corr_pdf
5.0,0.47000000000000003,1.5215299864411818
5.0,0.47200000000000003,1.5264406276557643
5.0,0.47400000000000003,1.5313027905231182
5.0,0.47600000000000003,1.5361164009047348
5.0,0.47800000000000004,1.5408931456787276
5.0,0.48,1.545632817545805
5.0,0.482,1.55033201563088
5.0,0.484,1.5549889212297632
5.0,0.486,1.5596024389425533
5.0,0.488,1.5641718662082915
5.0,0.49,1.5686967499584632
5.0,0.492,1.573176810814763
5.0,0.494,1.577611897635368
5.0,0.496,1.5820019577853246
5.0,0.498,1.5863561194775364
5.0,0.5,1.5906757381918122
5.0,0.502,1.5949580929667597
5.0,0.504,1.5992013651199453
5.0,0.506,1.6034045040335672
5.0,0.508,1.6075668495925493
5.0,0.51,1.6116879823266415
5.0,0.512,1.6157676475178946
5.0,0.514,1.6198057108325539
5.0,0.516,1.6238021297775216
5.0,0.518,1.6277628254742835
5.0,0.52,1.6316914585853473
5.0,0.522,1.6355861442605322
5.0,0.524,1.6394449461027563
5.0,0.526,1.6432668051569994
5.0,0.528,1.6470510726203642
5.0,0.53,1.6507973418176822
5.0,0.532,1.6545053677264887
5.0,0.534,1.6581750215665312
5.0,0.536,1.6618062622847527
5.0,0.538,1.6654014016047107
5.0,0.54,1.6689668647033962
5.0,0.542,1.6725017306439118
5.0,0.544,1.6760038613932966
5.0,0.546,1.6794721504291494
5.0,0.548,1.6829059368564765
5.0,0.55,1.6863048109993088
5.0,0.552,1.689668526110515
5.0,0.554,1.6929969503637274
5.0,0.556,1.6962900375095058
5.0,0.558,1.6995478074130164
5.0,0.56,1.702776633155075
5.0,0.562,1.7059778218518897
5.0,0.5640000000000001,1.709149528002426
5.0,0.5660000000000001,1.7122904548497555
5.0,0.5680000000000001,1.715399877497556
5.0,0.5700000000000001,1.7184773570200091
5.0,0.5720000000000001,1.7215226291351968
5.0,0.5740000000000001,1.7245355484326361
5.0,0.5760000000000001,1.7275160560002523
5.0,0.578,1.730464158704469
5.0,0.58,1.7333816276995957
5.0,0.582,1.736273722440815
5.0,0.584,1.7391397706585694
5.0,0.586,1.7419780899948512
5.0,0.588,1.744787825195875
5.0,0.59,1.7475684767910862
5.0,0.592,1.7503197452201396
5.0,0.594,1.75304146023856
5.0,0.596,1.7557335426210527
5.0,0.598,1.758395962177402
5.0,0.6,1.7610286141216231
5.0,0.602,1.7636345051229283
5.0,0.604,1.7662145475112005
5.0,0.606,1.768763883285865
5.0,0.608,1.7712742527044147
5.0,0.61,1.7737335224767266
5.0,0.612,1.7761245347983092
5.0,0.614,1.7784246752977924
5.0,0.616,1.7806056350081747
5.0,0.618,1.7826343276012313
5.0,0.62,1.7844745330444163
5.0,0.622,1.7860882524967003
5.0,0.624,1.7874414815678528
5.0,0.626,1.7884982442747674
5.0,0.628,1.7892227711051603
5.0,0.63,1.7895831763015932
5.0,0.632,1.789550786907356
5.0,0.634,1.789096826031633
5.0,0.636,1.7882023883999023
5.0,0.638,1.7868549927724624
5.0,0.64,1.7850466007440124
5.0,0.642,1.7827735936130589
5.0,0.644,1.7800364480315949
5.0,0.646,1.776843477400689
5.0,0.648,1.7732024583570263
5.0,0.65,1.7691092602062084
5.0,0.652,1.7645689027182385
5.0,0.654,1.7595969893218502
5.0,0.656,1.7542109040018672
5.0,0.658,1.7484284228925275
5.0,0.66,1.7422679058994455
5.0,0.662,1.7357481694253445
5.0,0.664,1.7288882997940482
5.0,0.666,1.7217033017423644
5.0,0.668,1.7141930234398253
5.0,0.67,1.7063774536908836
5.0,0.672,1.6982800908293751
5.0,0.674,1.689921608857722
5.0,0.676,1.681321428032413
5.0,0.678,1.6724980210183469
5.0,0.68,1.6634690205031626
5.0,0.682,1.654251261107075
5.0,0.684,1.6448443999947633
5.0,0.686,1.635248199767705
5.0,0.6880000000000001,1.6254820845102123
5.0,0.6900000000000001,1.615569049197951
5.0,0.6920000000000001,1.6055271517217562
5.0,0.6940000000000001,1.5953707257118792
5.0,0.6960000000000001,1.585112861373285
5.0,0.6980000000000001,1.5747658739809685
5.0,0.7000000000000001,1.5643412926467677
5.0,0.7020000000000001,1.553822621220067
5.0,0.704,1.5432136788311406
5.0,0.706,1.5325320884683682
5.0,0.708,1.5217928991215917
5.0,0.71,1.511008266479161
5.0,0.712,1.5001900046886816
5.0,0.714,1.489349290684188
5.0,0.716,1.4784940517666807
5.0,0.718,1.4676310141134565
5.0,0.72,1.4567324204536467
5.0,0.722,1.445805683303161
5.0,0.724,1.4348666264186327
5.0,0.726,1.423926030498179
5.0,0.728,1.4129924256703998
5.0,0.73,1.4020729862345107
5.0,0.732,1.3911739304126343
5.0,0.734,1.3803007381918904
5.0,0.736,1.3694565833092756
5.0,0.738,1.3586165761483169
5.0,0.74,1.3477864850785308
5.0,0.742,1.3369788647773468
5.0,0.744,1.3262018573728296
5.0,0.746,1.315461647158888
5.0,0.748,1.3047632572064825
5.0,0.75,1.2941109087130795
5.0,0.752,1.283508217726749
5.0,0.754,1.2729525062376388
5.0,0.756,1.2624202523001773
5.0,0.758,1.2519180196884827
5.0,0.76,1.24145805445985
5.0,0.762,1.2310467677493206
5.0,0.764,1.2206885616848313
5.0,0.766,1.210386986024201
5.0,0.768,1.200144957879696
5.0,0.77,1.189964909430892
5.0,0.772,1.1798444166475752
5.0,0.774,1.1697593776386792
5.0,0.776,1.1597139248956696
5.0,0.778,1.149717883664502
5.0,0.78,1.139777064882631
5.0,0.782,1.12989713468888
5.0,0.784,1.120081517099845
5.0,0.786,1.1103321048591306
5.0,0.788,1.1006504255057599
5.0,0.79,1.0910369187324016
5.0,0.792,1.081465071188391
5.0,0.794,1.0719373590682684
5.0,0.796,1.0624630069314775
5.0,0.798,1.053047232041953
5.0,0.8,1.043693555005263
5.0,0.802,1.034404543962897
5.0,0.804,1.0251821460724981
5.0,0.806,1.0160295496172054
5.0,0.808,1.0069478880619962
5.0,0.81,0.9979155315947283
5.0,0.812,0.9889293882010267
5.0,0.8140000000000001,0.9799967971275385
5.0,0.8160000000000001,0.9711229895572644
5.0,0.8180000000000001,0.9623112601637395
5.0,0.8200000000000001,0.9535639147449714
5.0,0.8220000000000001,0.9448826439629954
5.0,0.8240000000000001,0.936268712455904
5.0,0.8260000000000001,0.9277230696431128
5.0,0.8280000000000001,0.9192330212271155
5.0,0.8300000000000001,0.9107899041781727
5.0,0.8320000000000001,0.9023987758587667
5.0,0.834,0.8940650122868774
5.0,0.836,0.8857917947043659
5.0,0.838,0.8775812720272022
5.0,0.84,0.8694349777332966
5.0,0.842,0.8613540299402211
5.0,0.844,0.8533392448116046
5.0,0.846,0.8453872846583056
5.0,0.848,0.8374799288260124
5.0,0.85,0.8296196290086015
5.0,0.852,0.8218128502764733
5.0,0.854,0.8140642907103288
5.0,0.856,0.806376311325651
5.0,0.858,0.7987501829659962
5.0,0.86,0.7911868507283945
5.0,0.862,0.7836870122758706
5.0,0.864,0.7762511621728349
5.0,0.866,0.7688647768513659
5.0,0.868,0.7615226771999848
5.0,0.87,0.7542298642822634
5.0,0.872,0.7469905990990751
5.0,0.874,0.7398074129303639
5.0,0.876,0.7326819969553773
5.0,0.878,0.7256162304431361
5.0,0.88,0.7186112594394295
5.0,0.882,0.7116674437755224
5.0,0.884,0.7047819183642985
5.0,0.886,0.6979388035161056
5.0,0.888,0.6911399177886024
5.0,0.89,0.6843905930445895
5.0,0.892,0.677693710614038
5.0,0.894,0.6710511083400328
5.0,0.896,0.6644640401892636
5.0,0.898,0.6579333827576659
5.0,0.9,0.6514597467604353
5.0,0.902,0.645043778579826
5.0,0.904,0.6386773140171068
5.0,0.906,0.6323522537216641
5.0,0.908,0.6260716826232716
5.0,0.91,0.6198394792193783
5.0,0.912,0.6136578296319526
5.0,0.914,0.6075281479272688
5.0,0.916,0.6014513974921867
5.0,0.918,0.595428242374921
5.0,0.92,0.589459131819743
5.0,0.922,0.5835443530137899
5.0,0.924,0.5776716461510377
5.0,0.926,0.5718380522576905
5.0,0.928,0.5660480603750548
5.0,0.93,0.5603048764129654
5.0,0.932,0.5546101300145863
5.0,0.934,0.5489648606472207
5.0,0.936,0.5433697888730024
5.0,0.9380000000000001,0.5378254064189781
5.0,0.9400000000000001,0.5323320344682297
5.0,0.9420000000000001,0.5268898626364967
5.0,0.9440000000000001,0.5214852785207749
5.0,0.9460000000000001,0.5161180840775234
5.0,0.9480000000000001,0.5107924103524025
5.0,0.9500000000000001,0.5055106445796116
5.0,0.9520000000000001,0.5002742496568029
5.0,0.9540000000000001,0.49508477535704765
5.0,0.9560000000000001,0.4899428515794204
5.0,0.9580000000000001,0.48484874999419075
5.0,0.96,0.4798026611401964
5.0,0.962,0.47480457369194606
5.0,0.964,0.46984141394990603
5.0,0.966,0.46491381701517315
5.0,0.968,0.46002564868984536
5.0,0.97,0.45517892593066556
5.0,0.972,0.4503748968634408
5.0,0.974,0.4456143865444791
5.0,0.976,0.4408979498668042
5.0,0.978,0.43622600908226494
5.0,0.98,0.43159920532392
5.0,0.982,0.42701761730859683
5.0,0.984,0.42246947108579885
5.0,0.986,0.4179549465874007
5.0,0.988,0.4134774420357276
5.0,0.99,0.4090387868942603
5.0,0.992,0.4046400957146983
5.0,0.994,0.40028209592478703
5.0,0.996,0.3959652695653325
5.0,0.998,0.3916899280402845
5.0,1.0,0.38745625683891644
5.0,1.002,0.38326434473249027
5.0,1.004,0.37910512749906305
5.0,1.006,0.37497764193997696
5.0,1.008,0.37088462037862013
5.0,1.01,0.3668278116784086
5.0,1.012,0.3628082462117553
5.0,1.014,0.3588265841941868
5.0,1.016,0.35488325616305066
5.0,1.018,0.3509785347256092
5.0,1.02,0.3471125767251139
5.0,1.022,0.34328545046487446
5.0,1.024,0.33949126307403327
5.0,1.026,0.33572638398430166
5.0,1.028,0.33199272954969533
5.0,1.03,0.3282922687535263
5.0,1.032,0.3246263528590798
5.0,1.034,0.32099569672961376
5.0,1.036,0.317400661145809
5.0,1.038,0.3138414700758295
5.0,1.04,0.31031825167739313
5.0,1.042,0.3068310564992391
5.0,1.044,0.3033775883541952
5.0,1.046,0.2999514415919496
5.0,1.048,0.29655355947774
5.0,1.05,0.29318610441653525
5.0,1.052,0.2898502088288342
5.0,1.054,0.2865465606619181
5.0,1.056,0.2832755975203767
5.0,1.058,0.28003770411077933
5.0,1.06,0.27683316823547305
5.0,1.062,0.27366202438155274
5.0,1.064,0.2705242252224831
5.0,1.066,0.267413394042218
5.0,1.068,0.2643282305011241
5.0,1.07,0.26127059268976244
5.0,1.072,0.2582417936393966
5.0,1.074,0.2552425770366229
5.0,1.076,0.2522734023956592
5.0,1.078,0.24933455590816003
5.0,1.08,0.2464262058801828
5.0,1.082,0.2435484348585913
5.0,1.084,0.24070126016344937
5.0,1.086,0.2378831000485675
5.0,1.088,0.2350887355664347
5.0,1.09,0.23231881313909417
5.0,1.092,0.22957500601834896
5.0,1.094,0.2268581726707094
5.0,1.096,0.2241688218999999
5.0,1.098,0.22150726624224695
5.0,1.1,0.21887369130718728
5.0,1.102,0.21626819334665237
5.0,1.104,0.21369080215151698
5.0,1.106,0.2111414962035523
5.0,1.108,0.2086166948272583
5.0,1.11,0.2061138150694916
5.0,1.112,0.20363397263713445
5.0,1.114,0.20117851746928367
5.0,1.116,0.19874808619187015
5.0,1.118,0.1963430233183239
5.0,1.12,0.1939635382530486
5.0,1.122,0.19160974600646416
5.0,1.124,0.1892816926532056
5.0,1.1260000000000001,0.18697937188512054
5.0,1.1280000000000001,0.18470273639429735
5.0,1.1300000000000001,0.18244746434952594
5.0,1.1320000000000001,0.1802124451483296
5.0,1.1340000000000001,0.1779989027133381
5.0,1.1360000000000001,0.17580774080018924
5.0,1.1380000000000001,0.17363945304995707
5.0,1.1400000000000001,0.1714943468991762
5.0,1.1420000000000001,0.1693726880814838
5.0,1.1440000000000001,0.167274552165324
5.0,1.1460000000000001,0.16519993374612815
5.0,1.1480000000000001,0.1631487958058821
5.0,1.1500000000000001,0.16112107144491145
5.0,1.1520000000000001,0.1591125012250611
5.0,1.154,0.15712254696229905
5.0,1.156,0.15515236844581612
5.0,1.158,0.1532026862524877
5.0,1.16,0.1512738958442683
5.0,1.162,0.1493662265667589
5.0,1.164,0.14747980545510353
5.0,1.166,0.1456146896547549
5.0,1.168,0.1437708853802338
5.0,1.17,0.14194844441913435
5.0,1.172,0.140147300643567
5.0,1.174,0.13836381072865073
5.0,1.176,0.1365973495581326
5.0,1.178,0.13484888710554827
5.0,1.18,0.1331190560297379
5.0,1.182,0.1314081953673183
5.0,1.184,0.12971649631290982
5.0,1.186,0.12804405967994917
5.0,1.188,0.12639092481967984
5.0,1.19,0.12475708643259882
5.0,1.192,0.12314250533034042
5.0,1.194,0.12154711581595924
5.0,1.196,0.11996830541079682
5.0,1.198,0.11840497924320167
5.0,1.2,0.11685787234971956
5.0,1.202,0.11532759392130104
5.0,1.204,0.11381445058296855
5.0,1.206,0.11231861046128898
5.0,1.208,0.11084015861023165
5.0,1.21,0.10937912428275547
5.0,1.212,0.1079354965283604
5.0,1.214,0.10650923406280326
5.0,1.216,0.10510027197963204
5.0,1.218,0.10370722007293066
5.0,1.22,0.10232814765076131
5.0,1.222,0.10096344718059426
5.0,1.224,0.09961377140672237
5.0,1.226,0.09827944067632445
5.0,1.228,0.09696067112510545
5.0,1.23,0.09565754551020174
5.0,1.232,0.0943700811654694
5.0,1.234,0.09309826295633139
5.0,1.236,0.09184204947390412
5.0,1.238,0.09060137845480709
5.0,1.24,0.08937617092666127
5.0,1.242,0.08816357824827195
5.0,1.244,0.08696363349650321
5.0,1.246,0.08577704654332115
5.0,1.248,0.08460414783083924
5.0,1.25,0.08344511050493839
5.0,1.252,0.08230002207741294
5.0,1.254,0.08116891591987137
5.0,1.256,0.08005179708760286
5.0,1.258,0.07894865956731617
5.0,1.26,0.07785944643987136
5.0,1.262,0.07678407957001
5.0,1.264,0.07572137401517225
5.0,1.266,0.07467000022363976
5.0,1.268,0.07363026075766864
5.0,1.27,0.07260260464946205
5.0,1.272,0.07158724297713139
5.0,1.274,0.07058428077925145
5.0,1.276,0.06959376243260851
5.0,1.278,0.06861569273020206
5.0,1.28,0.06765004850725827
5.0,1.282,0.06669678581370876
5.0,1.284,0.06575584470123177
5.0,1.286,0.06482715892942145
5.0,1.288,0.06390906449192484
5.0,1.29,0.06300110825261468
5.0,1.292,0.06210369295709318
5.0,1.294,0.0612171018052153
5.0,1.296,0.06034146881244723
5.0,1.298,0.05947685482368582
5.0,1.3,0.058623276634187475
5.0,1.302,0.05778072141733314
5.0,1.304,0.056949155027222954
