condition,t,rt_corr_pdf
6.0,0.6900000000000001,1.7080577167615534
6.0,0.6920000000000001,1.7019169052963468
6.0,0.6940000000000001,1.6954169305914577
6.0,0.6960000000000001,1.6885757377363804
6.0,0.6980000000000001,1.6814115344950513
6.0,0.7000000000000001,1.6739425707737152
6.0,0.7020000000000001,1.6661869737111648
6.0,0.704,1.658162618259037
6.0,0.706,1.649887024668832
6.0,0.708,1.641377277834329
6.0,0.71,1.6326499648697006
6.0,0.712,1.6237119618842615
6.0,0.714,1.614574808741004
6.0,0.716,1.6052556756204046
6.0,0.718,1.595770975066978
6.0,0.72,1.5861356265307214
6.0,0.722,1.5763635550542425
6.0,0.724,1.566467868204731
6.0,0.726,1.5564609420221671
6.0,0.728,1.5463565193817157
6.0,0.73,1.5361658117492205
6.0,0.732,1.5258986600210935
6.0,0.734,1.5155645444232844
6.0,0.736,1.5051725261093434
6.0,0.738,1.4947312011835403
6.0,0.74,1.4842486964860697
6.0,0.742,1.4737326789022316
6.0,0.744,1.4631903701308635
6.0,0.746,1.452628563871533
6.0,0.748,1.4420536440619725
6.0,0.75,1.4314716034665536
6.0,0.752,1.4208783008728285
6.0,0.754,1.4102743977431214
6.0,0.756,1.399667716201469
6.0,0.758,1.38906566894217
6.0,0.76,1.378474228996915
6.0,0.762,1.3678985810302333
6.0,0.764,1.357343359841841
6.0,0.766,1.3468134531874774
6.0,0.768,1.336313896800891
6.0,0.77,1.3258479678406985
6.0,0.772,1.315418448314303
6.0,0.774,1.3050280637550766
6.0,0.776,1.2946793879653844
6.0,0.778,1.284374823084526
6.0,0.78,1.2741165986439313
6.0,0.782,1.263906776887429
6.0,0.784,1.2537472603604203
6.0,0.786,1.2436398002557678
6.0,0.788,1.2335860048763445
6.0,0.79,1.223587347925692
6.0,0.792,1.2136357934043243
6.0,0.794,1.2037287026427594
6.0,0.796,1.1938700693895585
6.0,0.798,1.1840635370659942
6.0,0.8,1.1743115917318852
6.0,0.802,1.164616151126436
6.0,0.804,1.1549787785192063
6.0,0.806,1.1454021000942716
6.0,0.808,1.1358874636207472
6.0,0.81,1.1264354360732294
6.0,0.812,1.117046562604714
6.0,0.8140000000000001,1.107721380220896
6.0,0.8160000000000001,1.0984603760609035
6.0,0.8180000000000001,1.0892639773388637
6.0,0.8200000000000001,1.0801325502186179
6.0,0.8220000000000001,1.0710664017753964
6.0,0.8240000000000001,1.0620657830786786
6.0,0.8260000000000001,1.0531308926315974
6.0,0.8280000000000001,1.044261879844586
6.0,0.8300000000000001,1.0354588484031935
6.0,0.8320000000000001,1.0267126669507136
6.0,0.834,1.0180209792796082
6.0,0.836,1.0093865700722817
6.0,0.838,1.000811586579499
6.0,0.84,0.9922972884353847
6.0,0.842,0.983844508568301
6.0,0.844,0.9754542279367532
6.0,0.846,0.9671277618105782
6.0,0.848,0.9588652391441047
6.0,0.85,0.9506665161384078
6.0,0.852,0.9425315163858279
6.0,0.854,0.9344601592873437
6.0,0.856,0.926452342487954
6.0,0.858,0.9185079374553224
6.0,0.86,0.9106267892438786
6.0,0.862,0.9028087177399163
6.0,0.864,0.895053519415469
6.0,0.866,0.8873609692059842
6.0,0.868,0.8797308223529644
6.0,0.87,0.8721628161474247
6.0,0.872,0.8646473904217135
6.0,0.874,0.8571836350189551
6.0,0.876,0.8497740051359358
6.0,0.878,0.8424198874007754
6.0,0.88,0.8351220340063435
6.0,0.882,0.8278808796074715
6.0,0.884,0.8206975290494087
6.0,0.886,0.8135723094668763
6.0,0.888,0.8065049871516172
6.0,0.89,0.799495317312914
6.0,0.892,0.7925430786788618
6.0,0.894,0.7856480429390812
6.0,0.896,0.77880996720634
6.0,0.898,0.7720285925904524
6.0,0.9,0.7653036447486554
6.0,0.902,0.7586348350922588
6.0,0.904,0.752021862167403
6.0,0.906,0.745464413023354
6.0,0.908,0.7389621644973293
6.0,0.91,0.732513934546571
6.0,0.912,0.7261115615644782
6.0,0.914,0.7197552018596589
6.0,0.916,0.7134469333869283
6.0,0.918,0.7071877046052312
6.0,0.92,0.7009780128199997
6.0,0.922,0.6948183566316267
6.0,0.924,0.6887095151659332
6.0,0.926,0.6826514103361899
6.0,0.928,0.6766437584802816
6.0,0.93,0.6706863257436718
6.0,0.932,0.6647788793375803
6.0,0.934,0.6589211763562091
6.0,0.936,0.6531129613482373
6.0,0.9380000000000001,0.647353966499564
6.0,0.9400000000000001,0.6416439126424281
6.0,0.9420000000000001,0.6359825104832024
6.0,0.9440000000000001,0.6303694618270306
6.0,0.9460000000000001,0.624804460719571
6.0,0.9480000000000001,0.6192871944819832
6.0,0.9500000000000001,0.6138149025426469
6.0,0.9520000000000001,0.6083823657355515
6.0,0.9540000000000001,0.602990150009264
6.0,0.9560000000000001,0.5976397541477108
6.0,0.9580000000000001,0.5923318626433512
6.0,0.96,0.587066822769776
6.0,0.962,0.5818453542476656
6.0,0.964,0.5766676895994116
6.0,0.966,0.5715336373051048
6.0,0.968,0.5664429771762834
6.0,0.97,0.5613955031396752
6.0,0.972,0.5563910025632302
6.0,0.974,0.5514292519180831
6.0,0.976,0.5465100164672442
6.0,0.978,0.5416330511200487
6.0,0.98,0.5367981015916624
6.0,0.982,0.5320049055780284
6.0,0.984,0.5272531938484107
6.0,0.986,0.5225426912279898
6.0,0.988,0.5178731174694873
6.0,0.99,0.513240396474458
6.0,0.992,0.5086418531973581
6.0,0.994,0.5040784052258397
6.0,0.996,0.4995510755552454
