condition,t,rt_corr_pdf
4.0,0.85,0.5606553560108761
4.0,0.852,0.5561513407912843
4.0,0.854,0.5516817353004763
4.0,0.856,0.5472462906290699
4.0,0.858,0.5428447595401021
4.0,0.86,0.5384768964597856
4.0,0.862,0.5341424574682619
4.0,0.864,0.529841200290341
4.0,0.866,0.5255728842862445
4.0,0.868,0.521337270442345
4.0,0.87,0.5171341213619104
4.0,0.872,0.5129632012558487
4.0,0.874,0.5088242759334619
4.0,0.876,0.5047171127932076
4.0,0.878,0.5006414808134703
4.0,0.88,0.496597150543347
4.0,0.882,0.49258389409344217
4.0,0.884,0.48860148512668206
4.0,0.886,0.48464969884914566
4.0,0.888,0.48072831200091415
4.0,0.89,0.4768371028469396
4.0,0.892,0.47297585116793306
4.0,0.894,0.4691443382512781
4.0,0.896,0.4653423468819706
4.0,0.898,0.46156966133357685
4.0,0.9,0.45782606735921966
4.0,0.902,0.45411135218259496
4.0,0.904,0.45042530448901436
4.0,0.906,0.4467677144164749
4.0,0.908,0.4431383735467601
4.0,0.91,0.43953707489657146
4.0,0.912,0.43596361290868885
4.0,0.914,0.4324177834431678
4.0,0.916,0.4288993837685659
4.0,0.918,0.4254082125532027
4.0,0.92,0.421944069856453
4.0,0.922,0.41850675712007673
4.0,0.924,0.41509607715958563
4.0,0.926,0.41171183415563795
4.0,0.928,0.408353833645474
4.0,0.93,0.40502188251439203
4.0,0.932,0.40171578898725346
4.0,0.934,0.39843536262002943
4.0,0.936,0.3951804142913848
4.0,0.9380000000000001,0.3919507561942998
4.0,0.9400000000000001,0.38874620182772773
4.0,0.9420000000000001,0.3855665659882945
4.0,0.9440000000000001,0.3824116647620361
4.0,0.9460000000000001,0.3792813155161748
4.0,0.9480000000000001,0.3761753368909311
4.0,0.9500000000000001,0.37309354879138185
4.0,0.9520000000000001,0.37003577237935537
4.0,0.9540000000000001,0.3670018300653624
4.0,0.9560000000000001,0.36399154550057133
4.0,0.9580000000000001,0.3610047435688248
4.0,0.96,0.3580412503786922
4.0,0.962,0.35510089325556593
4.0,0.964,0.35218350073379606
4.0,0.966,0.34928890254886624
4.0,0.968,0.3464169296296118
4.0,0.97,0.34356741409047714
4.0,0.972,0.34074018922381316
4.0,0.974,0.33793508949221596
4.0,0.976,0.3351519505209082
4.0,0.978,0.33239060909015966
4.0,0.98,0.329650903127749
4.0,0.982,0.3269326717014649
4.0,0.984,0.3242357550116493
4.0,0.986,0.3215599943837834
4.0,0.988,0.3189052322611129
4.0,0.99,0.3162713121973123
4.0,0.992,0.3136580788491921
4.0,0.994,0.31106537796944655
4.0,0.996,0.3084930563994401
4.0,0.998,0.3059409620620369
4.0,1.0,0.3034089439544716
4.0,1.002,0.3008968521412558
4.0,1.004,0.2984045377471299
4.0,1.006,0.29593185295005314
4.0,1.008,0.29347865097423337
4.0,1.01,0.2910447860831979
4.0,1.012,0.28863011357290486
4.0,1.014,0.2862344897648927
4.0,1.016,0.28385777199946993
4.0,1.018,0.28149981862894785
4.0,1.02,0.279160489010908
4.0,1.022,0.27683964350151047
4.0,1.024,0.27453714344884483
4.0,1.026,0.27225285118631737
4.0,1.028,0.26998663002607776
4.0,1.03,0.26773834425248333
4.0,1.032,0.2655078591156063
4.0,1.034,0.26329504082477595
4.0,1.036,0.261099756542161
4.0,1.038,0.2589218743763903
4.0,1.04,0.25676126337621147
4.0,1.042,0.2546177935241878
4.0,1.044,0.25249133573043414
4.0,1.046,0.250381761826389
4.0,1.048,0.248288944558624
4.0,1.05,0.24621275758269495
4.0,1.052,0.24415307545702644
4.0,1.054,0.2421097736368339
4.0,1.056,0.24008272846808373
4.0,1.058,0.23807181718149065
4.0,1.06,0.23607691788655166
4.0,1.062,0.2340979095656165
4.0,1.064,0.2321346720679947
4.0,1.066,0.23018708610409794
4.0,1.068,0.22825503323961993
4.0,1.07,0.2263383958897524
4.0,1.072,0.22443705731343577
4.0,1.074,0.2225509016076454
4.0,1.076,0.22067981370171325
4.0,1.078,0.21882367935168828
4.0,1.08,0.21698238513472695
4.0,1.082,0.21515581844352255
4.0,1.084,0.2133438674807664
4.0,1.086,0.21154642125364484
4.0,1.088,0.20976336956837272
4.0,1.09,0.20799460302475753
