condition,t,rt_corr_pdf
4.0,0.12,0.7324622450709749
4.0,0.122,0.7577048890582483
4.0,0.124,0.7826376263503608
4.0,0.126,0.8072362271802045
4.0,0.128,0.8314788247962247
4.0,0.13,0.8553457971461591
4.0,0.132,0.8788196481085714
4.0,0.134,0.9018848893906833
4.0,0.136,0.9245279240121258
4.0,0.138,0.9467369321207527
4.0,0.14,0.9685017597362121
4.0,0.14200000000000002,0.9898138108871618
4.0,0.14400000000000002,1.0106659434965706
4.0,0.146,1.0310523692744022
4.0,0.148,1.0509685577961936
4.0,0.15,1.0704111448779523
4.0,0.152,1.0893778453007585
4.0,0.154,1.107867369891051
4.0,0.156,1.1258793469235782
4.0,0.158,1.1434142477822369
4.0,0.16,1.160473316788527
4.0,0.162,1.1770585050872042
4.0,0.164,1.1931724084631607
4.0,0.166,1.2088182089519188
4.0,0.168,1.2239996200977474
4.0,0.17,1.238720835707861
4.0,0.17200000000000001,1.252986481947929
4.0,0.17400000000000002,1.2668015726227846
4.0,0.176,1.2801714674865254
4.0,0.178,1.2931018334278042
4.0,0.18,1.3055986083787117
4.0,0.182,1.3176679677991823
4.0,0.184,1.329316293592937
4.0,0.186,1.3405501453156403
4.0,0.188,1.3513762335409523
4.0,0.19,1.3618013952553722
4.0,0.192,1.3718325711582329
4.0,0.194,1.381476784748675
4.0,0.196,1.3907411230869904
4.0,0.198,1.3996327191231885
4.0,0.2,1.408158735491067
4.0,0.202,1.4163263496714247
4.0,0.20400000000000001,1.4241427404331795
4.0,0.20600000000000002,1.4316150754662629
4.0,0.20800000000000002,1.4387505001249337
4.0,0.21,1.4455561272049264
4.0,0.212,1.4520390276822877
4.0,0.214,1.4582062223460686
4.0,0.216,1.4640646742611882
4.0,0.218,1.469621282001632
4.0,0.22,1.4748828735979271
4.0,0.222,1.4798562011463559
4.0,0.224,1.4845479360307006
4.0,0.226,1.488964664710502
4.0,0.228,1.4931128850327935
4.0,0.23,1.4969990030271136
4.0,0.232,1.5006293301462668
4.0,0.234,1.5040100809177679
4.0,0.23600000000000002,1.5071473709733172
4.0,0.23800000000000002,1.5100472154258653
4.0,0.24,1.5127155275658857
4.0,0.242,1.515158117850446
4.0,0.244,1.5173806931604772
4.0,0.246,1.519388856303438
4.0,0.248,1.521188105740081
4.0,0.25,1.5227838355155736
4.0,0.252,1.5241813353766742
4.0,0.254,1.5253857910579427
4.0,0.256,1.5264022847211987
4.0,0.258,1.527235795533595
4.0,0.26,1.5278912003707776
4.0,0.262,1.5283732746325494
4.0,0.264,1.5286866931594516
4.0,0.266,1.5288360312395208
4.0,0.268,1.5288257656952806
4.0,0.27,1.5286602760418109
4.0,0.272,1.5283438457074257
4.0,0.274,1.5278806633091762
4.0,0.276,1.5272748239759624
4.0,0.278,1.5265303307126434
4.0,0.28,1.5256510957990579
4.0,0.28200000000000003,1.5246409422183562
4.0,0.28400000000000003,1.5235036051094935
4.0,0.28600000000000003,1.5222427332391677
4.0,0.28800000000000003,1.520861890488911
4.0,0.29,1.5193645573533425
4.0,0.292,1.5177541324459904
4.0,0.294,1.5160339340093911
4.0,0.296,1.5142072014264414
4.0,0.298,1.5122770967302865
4.0,0.3,1.5102467061102767
4.0,0.302,1.508119041411714
4.0,0.304,1.5058970416273743
4.0,0.306,1.503583574378975
4.0,0.308,1.501181437386934
4.0,0.31,1.4986933599269587
4.0,0.312,1.4961220042721153
4.0,0.314,1.4934699671192322
4.0,0.316,1.4907397809986036
4.0,0.318,1.48793391566605
4.0,0.32,1.4850547794765476
4.0,0.322,1.482104720738743
4.0,0.324,1.4790860290497378
4.0,0.326,1.47600093660965
4.0,0.328,1.4728516195155044
4.0,0.33,1.4696401990341053
4.0,0.332,1.466368742853619
4.0,0.334,1.4630392663136336
4.0,0.336,1.4596537336135331
4.0,0.338,1.4562140589990678
4.0,0.34,1.4527221079270716
4.0,0.342,1.4491796982083076
4.0,0.34400000000000003,1.4455886011284445
4.0,0.34600000000000003,1.4419505425472285
4.0,0.34800000000000003,1.4382672039759465
4.0,0.35000000000000003,1.4345402236333014
4.0,0.352,1.4307711974798138
4.0,0.354,1.4269616802309637
4.0,0.356,1.4231131863492388
4.0,0.358,1.419227191015279
4.0,0.36,1.4153051310783986
4.0,0.362,1.4113484059866717
4.0,0.364,1.4073583786968622
4.0,0.366,1.40333637656447
4.0,0.368,1.3992836922141583
4.0,0.37,1.3952015843908527
4.0,0.372,1.391091278791796
4.0,0.374,1.3869539688798715
4.0,0.376,1.3827908166784963
4.0,0.378,1.3786029535483801
4.0,0.38,1.3743914809464732
4.0,0.382,1.37015747116742
4.0,0.384,1.3659019680678284
4.0,0.386,1.361625987773663
4.0,0.388,1.3573305193710856
4.0,0.39,1.3530165255810827
4.0,0.392,1.3486849434181487
4.0,0.394,1.3443366848333753
4.0,0.396,1.3399726373422598
4.0,0.398,1.335593664637514
4.0,0.4,1.3312006071872082
4.0,0.402,1.3267942828185522
4.0,0.404,1.32237548728761
4.0,0.406,1.3179449948352404
4.0,0.40800000000000003,1.313503558729585
4.0,0.41000000000000003,1.3090519117953563
4.0,0.41200000000000003,1.3045907669302519
4.0,0.41400000000000003,1.3001208176087662
4.0,0.41600000000000004,1.2956427383736557
4.0,0.418,1.2911571853153727
4.0,0.42,1.2866647965397249
4.0,0.422,1.2821661926239964
4.0,0.424,1.277661977061848
4.0,0.426,1.273152736697215
4.0,0.428,1.2686390421474676
4.0,0.43,1.2641214482160874
4.0,0.432,1.2596004942950927
4.0,0.434,1.2550767047574622
4.0,0.436,1.250550589339797
4.0,0.438,1.2460226435154371
4.0,0.44,1.2414933488582587
4.0,0.442,1.236963173397403
4.0,0.444,1.2324325719631084
4.0,0.446,1.2279019865238952
4.0,0.448,1.2233718465152907
4.0,0.45,1.2188425691603086
4.0,0.452,1.2143145597818805
4.0,0.454,1.2097882121074268
4.0,0.456,1.2052639085657708
4.0,0.458,1.2007420205765733
4.0,0.46,1.1962229088324727
4.0,0.462,1.1917069235741105
4.0,0.464,1.1871944048582221
4.0,0.466,1.1826856828189436
4.0,0.468,1.178181077922523
4.0,0.47000000000000003,1.1736809012155967
4.0,0.47200000000000003,1.1691854545671827
4.0,0.47400000000000003,1.1646950309045425
4.0,0.47600000000000003,1.1602099144430653
4.0,0.47800000000000004,1.1557303809103434
4.0,0.48,1.1512566977645668
4.0,0.482,1.1467891244073591
4.0,0.484,1.1423279123912262
4.0,0.486,1.1378733056217518
4.0,0.488,1.133425540554639
4.0,0.49,1.1289848463877603
4.0,0.492,1.12455144524832
4.0,0.494,1.1201255523752618
4.0,0.496,1.1157073762970495
4.0,0.498,1.111297119004917
4.0,0.5,1.1068949761217046
4.0,0.502,1.1025011370664166
4.0,0.504,1.098115785214585
4.0,0.506,1.0937390980545438
4.0,0.508,1.0893712473397308
4.0,0.51,1.0850123992371155
4.0,0.512,1.0806627144718417
4.0,0.514,1.0763223484681887
4.0,0.516,1.0719914514869378
4.0,0.518,1.06767016875924
4.0,0.52,1.06335864061708
4.0,0.522,1.0590570026204038
4.0,0.524,1.0547653856810149
4.0,0.526,1.0504839161833108
4.0,0.528,1.0462127161019352
4.0,0.53,1.0419519031164424
4.0,0.532,1.0377015907230327
4.0,0.534,1.0334618883434348
4.0,0.536,1.0292329014310166
4.0,0.538,1.0250147315741953
4.0,0.54,1.0208074765972037
4.0,0.542,1.0166112306582824
4.0,0.544,1.0124260843453798
4.0,0.546,1.0082521247694107
4.0,0.548,1.0040894356551286
4.0,0.55,0.9999380974296849
4.0,0.552,0.9957981873089301
4.0,0.554,0.9916697793815139
4.0,0.556,0.9875529446908445
4.0,0.558,0.9834477513149563
4.0,0.56,0.9793542644443342
4.0,0.562,0.9752725464577638
4.0,0.5640000000000001,0.971202656996246
4.0,0.5660000000000001,0.9671446530350197
4.0,0.5680000000000001,0.9630985889537595
4.0,0.5700000000000001,0.9590645166049758
4.0,0.5720000000000001,0.9550424853806737
4.0,0.5740000000000001,0.9510325422773148
4.0,0.5760000000000001,0.9470347319591231
4.0,0.578,0.9430490968197752
4.0,0.58,0.9390756770425216
4.0,0.582,0.9351145106587756
4.0,0.584,0.9311656336052063
4.0,0.586,0.9272290797793799
4.0,0.588,0.9233048810939847
4.0,0.59,0.9193930675296753
4.0,0.592,0.9154936671865681
4.0,0.594,0.9116067063344239
4.0,0.596,0.9077322094615615
4.0,0.598,0.9038701993225188
4.0,0.6,0.9000206969844955
4.0,0.602,0.8961837218726294
4.0,0.604,0.892359291814106
4.0,0.606,0.8885474230811525
4.0,0.608,0.8847481304329351
4.0,0.61,0.8809614271563899
4.0,0.612,0.8771873251060209
4.0,0.614,0.8734258347426778
4.0,0.616,0.8696769651713543
